SimulationYear,TotalBurnedSitesAccidental,TotalBurnedSitesLightning,TotalBurnedSitesRx,NumberFiresAccidental,NumberFiresLightning,NumberFiresRx,TotalBiomassMortalityAccidental,TotalBiomassMortalityLightning,TotalBiomassMortalityRx,
1, 8, 1068, 0, 6, 3, 0, 34820, 2494041, 0, 
2, 549, 83, 0, 13, 7, 0, 2507300, 248530, 0, 
3, 588, 2, 0, 8, 2, 0, 2577695, 7359, 0, 
4, 8, 2, 0, 5, 2, 0, 51280, 9340, 0, 
5, 3, 5, 0, 2, 4, 0, 2390, 18757, 0, 
6, 1499, 4, 0, 11, 3, 0, 4640397, 21380, 0, 
7, 1425, 6, 0, 9, 6, 0, 2722109, 47027, 0, 
8, 156, 1, 0, 7, 1, 0, 507012, 8079, 0, 
9, 9, 5, 0, 7, 5, 0, 19482, 34879, 0, 
10, 997, 1151, 0, 4, 7, 0, 3626366, 4839760, 0, 
11, 724, 3567, 0, 10, 8, 0, 1966593, 7241846, 0, 
12, 786, 6, 0, 9, 4, 0, 1052009, 16143, 0, 
13, 2628, 1091, 0, 15, 4, 0, 5261279, 3430786, 0, 
14, 5, 1628, 0, 4, 2, 0, 26485, 4594539, 0, 
15, 11, 279, 0, 9, 4, 0, 37666, 562564, 0, 
16, 103, 9, 0, 4, 6, 0, 261210, 37172, 0, 
17, 1007, 5, 0, 8, 5, 0, 1195090, 37787, 0, 
18, 738, 2083, 0, 15, 5, 0, 2085763, 5182149, 0, 
19, 6, 1917, 0, 5, 8, 0, 23155, 5637420, 0, 
20, 9, 1171, 0, 4, 3, 0, 25781, 3994274, 0, 
21, 951, 5, 0, 7, 4, 0, 1314343, 23125, 0, 
22, 1128, 5882, 0, 11, 11, 0, 883453, 12198240, 0, 
23, 234, 4, 0, 9, 4, 0, 349959, 6557, 0, 
24, 3638, 7254, 0, 17, 15, 0, 6389467, 19210657, 0, 
25, 3459, 4995, 0, 14, 8, 0, 3410047, 8946876, 0, 
26, 3397, 4831, 0, 12, 5, 0, 9193785, 8546077, 0, 
27, 19, 11, 0, 5, 4, 0, 52370, 18331, 0, 
28, 1954, 10, 0, 15, 5, 0, 2391317, 21837, 0, 
29, 5326, 8195, 0, 11, 11, 0, 12019685, 15382466, 0, 
30, 6148, 6986, 0, 9, 13, 0, 8917625, 8652381, 0, 
31, 2677, 9198, 0, 8, 11, 0, 5510897, 11534568, 0, 
32, 3349, 164, 0, 13, 7, 0, 5770044, 205539, 0, 
33, 2384, 2206, 0, 16, 8, 0, 3760100, 4151357, 0, 
34, 846, 3894, 0, 4, 11, 0, 1676338, 7780958, 0, 
35, 995, 15, 0, 17, 8, 0, 839547, 28194, 0, 
36, 29241, 76070, 0, 25, 39, 0, 47395880, 122074355, 0, 
37, 12, 18, 0, 4, 3, 0, 6878, 9182, 0, 
38, 25, 186, 0, 13, 8, 0, 31684, 247971, 0, 
39, 634, 690, 0, 9, 8, 0, 817655, 752489, 0, 
40, 5205, 7402, 0, 16, 11, 0, 4707850, 5772348, 0, 
41, 1822, 698, 0, 8, 6, 0, 756875, 534015, 0, 
42, 950, 4067, 0, 10, 11, 0, 401622, 4540150, 0, 
43, 1593, 1846, 0, 16, 6, 0, 1815286, 2462676, 0, 
44, 4974, 5128, 0, 15, 10, 0, 3241685, 3704099, 0, 
45, 5234, 3808, 0, 15, 7, 0, 6037022, 2854572, 0, 
46, 1803, 3437, 0, 9, 6, 0, 1823581, 4758475, 0, 
47, 4652, 3987, 0, 17, 7, 0, 3261525, 3200498, 0, 
48, 1867, 3665, 0, 12, 12, 0, 1009296, 4485470, 0, 
49, 5487, 5011, 0, 19, 13, 0, 2567088, 4846113, 0, 
50, 4546, 3995, 0, 11, 8, 0, 3342326, 6829616, 0, 
